Epoch: 0/20
2024-07-16 00:19:15.619098 Epoch: 0/20, Batch: 146/375, reward: 0.700, loss: -0.096, time_cost:9.065
2024-07-16 00:19:24.089804 Epoch: 0/20, Batch: 147/375, reward: 0.900, loss: -0.018, time_cost:8.369
2024-07-16 00:19:34.221195 Epoch: 0/20, Batch: 148/375, reward: 0.664, loss: 0.021, time_cost:10.100
2024-07-16 00:19:42.209043 Epoch: 0/20, Batch: 149/375, reward: 0.820, loss: 0.032, time_cost:7.969
2024-07-16 00:19:51.871003 Epoch: 0/20, Batch: 150/375, reward: 0.772, loss: -0.016, time_cost:9.637
2024-07-16 00:19:59.030107 Epoch: 0/20, Batch: 151/375, reward: 0.778, loss: -0.155, time_cost:7.132
2024-07-16 00:20:08.940402 Epoch: 0/20, Batch: 152/375, reward: 0.839, loss: 0.011, time_cost:9.886
2024-07-16 00:20:18.944695 Epoch: 0/20, Batch: 153/375, reward: 0.782, loss: -0.021, time_cost:9.983
2024-07-16 00:20:27.786839 Epoch: 0/20, Batch: 154/375, reward: 0.862, loss: 0.005, time_cost:8.821
2024-07-16 00:20:35.342247 Epoch: 0/20, Batch: 155/375, reward: 0.693, loss: -0.200, time_cost:7.528
2024-07-16 00:20:43.914352 Epoch: 0/20, Batch: 156/375, reward: 0.848, loss: 0.022, time_cost:8.554
2024-07-16 00:20:52.677777 Epoch: 0/20, Batch: 157/375, reward: 0.817, loss: -0.005, time_cost:8.723
2024-07-16 00:20:59.754802 Epoch: 0/20, Batch: 158/375, reward: 0.838, loss: -0.009, time_cost:7.056
2024-07-16 00:21:08.353378 Epoch: 0/20, Batch: 159/375, reward: 0.789, loss: 0.013, time_cost:8.579
2024-07-16 00:21:17.542917 Epoch: 0/20, Batch: 160/375, reward: 0.733, loss: 0.312, time_cost:9.163
2024-07-16 00:21:27.227124 Epoch: 0/20, Batch: 161/375, reward: 0.674, loss: 0.030, time_cost:9.655
2024-07-16 00:21:36.325917 Epoch: 0/20, Batch: 162/375, reward: 0.603, loss: 0.348, time_cost:9.074
2024-07-16 00:21:44.683588 Epoch: 0/20, Batch: 163/375, reward: 0.680, loss: 0.056, time_cost:8.340
2024-07-16 00:21:53.639209 Epoch: 0/20, Batch: 164/375, reward: 0.713, loss: -0.104, time_cost:8.924
2024-07-16 00:22:01.351304 Epoch: 0/20, Batch: 165/375, reward: 0.896, loss: -0.007, time_cost:7.694
2024-07-16 00:22:13.170397 Epoch: 0/20, Batch: 166/375, reward: 0.805, loss: 0.022, time_cost:11.797
